time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-04T14:46:13.460Z,38.7458344,-122.7121658,0.45,0.7,md,7,135,0.02448,0.05,nc,nc73265095,2019-09-04T15:18:05.319Z,"4km SSW of Anderson Springs, CA",earthquake,0.51,1.04,0.1,3,automatic,nc,nc
2019-09-04T14:43:43.960Z,46.8083333333333,-122.111666666667,16.87,0.8,ml,16,140,,0.11,uw,uw61547961,2019-09-04T16:46:28.140Z,"13km ESE of Eatonville, Washington",earthquake,0.32,0.72,0.099254726902842,6,reviewed,uw,uw
2019-09-04T14:42:39.980Z,39.1368333,-123.5935,0.79,1.2,md,11,164,0.07156,0.25,nc,nc73265090,2019-09-04T19:53:02.647Z,"16km ESE of Navarro Head, CA",earthquake,0.67,1.96,0.108,7,reviewed,nc,nc
2019-09-04T14:39:42.890Z,38.8381653,-122.7848358,1.24,1.02,md,13,116,0.004309,0.03,nc,nc73265080,2019-09-04T14:57:04.192Z,"6km WNW of Cobb, CA",earthquake,0.28,0.43,0.04,3,automatic,nc,nc
2019-09-04T14:36:53.480Z,35.6041667,-117.3971667,6.26,1.53,ml,28,82,0.05586,0.23,ci,ci39042168,2019-09-04T14:40:44.139Z,"18km S of Trona, CA",earthquake,0.38,0.64,0.221,23,automatic,ci,ci
2019-09-04T14:25:50.960Z,38.8230019,-122.8123322,3.14,0.58,md,11,137,0.001807,0.02,nc,nc73265075,2019-09-04T14:47:02.139Z,"7km NW of The Geysers, CA",earthquake,0.6,0.89,0.02,3,automatic,nc,nc
2019-09-04T14:20:17.480Z,35.937,-117.703,2.38,1.72,ml,25,44,0.04406,0.15,ci,ci39042136,2019-09-04T14:30:53.180Z,"18km E of Little Lake, CA",earthquake,0.17,0.29,0.22,27,automatic,ci,ci
2019-09-04T14:17:37.010Z,35.6881667,-117.5613333,8.49,0.74,ml,16,92,0.06629,0.16,ci,ci39042128,2019-09-04T14:21:20.024Z,"13km NE of Ridgecrest, CA",earthquake,0.32,0.95,0.075,9,automatic,ci,ci
2019-09-04T14:13:52.650Z,35.8665,-117.697,5.53,0.9,ml,15,74,0.07991,0.18,ci,ci39042112,2019-09-04T14:17:34.598Z,"20km ESE of Little Lake, CA",earthquake,0.31,1.13,0.147,11,automatic,ci,ci
2019-09-04T14:13:17.930Z,35.7498333,-117.5511667,7.92,0.93,ml,17,117,0.0758,0.15,ci,ci39042104,2019-09-04T14:17:00.407Z,"13km W of Searles Valley, CA",earthquake,0.34,0.88,0.163,13,automatic,ci,ci
